"","player","age","attempts_0_10","percent_0_10","attempts_dunk","x_of_fg_ast_d_2p","attempts_10_3p","percent_10_3p","attempts_corner","corner_3s_3p","attempted_3p","percentage_3p","x_of_fg_ast_d_3p","ft_rate","percentage_ft","ast","tov_percentage","blk_percentage","stl_percentage","pf","orb_percentage","drb_percentage","WEIGHT","FEET","INCHES","HEIGHT.in"
"1","Aaron Gordon",23,8.8658,0.569380743982494,2.1146,0.504,15.229,0.0940382165605095,1.6064,0.402,6.4,0.349,0.843,0.242,0.731,5.4,12.3,1.8,1.1,3.2,5.2,18.4,NA,NA,NA,NA
"2","Aaron Holiday",22,5.8212,0.506214285714286,0.2178,0.387,9.4446,0.183805031446541,0.9792,0.385,9.6,0.339,0.791,0.191,0.82,6.6,12.3,1.8,1.6,5.4,0.9,10.4,NA,NA,NA,NA
"3","Abdel Nader",25,7.279,0.528067729083665,0.406,0.492,12.3975,0.0111111111111111,2.68,0.375,6.7,0.32,0.969,0.167,0.75,1.3,10.1,1.5,1.3,4.6,2,15.7,NA,NA,NA,NA
"4","Al-Farouq Aminu",28,5.7,0.566789473684211,0.9875,0.516,10.0875,0.0168351920693928,1.8349,0.356,5.9,0.343,1,0.292,0.867,2.2,9.7,1.2,1.4,3,5.3,22.6,NA,NA,NA,NA
"5","Al Horford",32,7.9473,0.649412026726058,1.2744,0.752,12.2307,0.206422575976845,0.47,0.263,5,0.36,1,0.131,0.821,6.9,11.8,3.9,1.4,3.1,6.5,18.3,NA,NA,NA,NA
"6","Alec Burks",27,7.774,0.491071739130435,0.4225,0.42,12.6243,0.0678313253012048,1.176,0.364,6,0.363,0.77,0.297,0.823,4.6,10.8,1.3,1.4,3.2,2.3,17,NA,NA,NA,NA
"7","Álex Abrines",25,1.5875,0.5,0.075,0.8,2.8625,0.139834061135371,2.0705,0.385,10.1,0.323,0.951,0.083,0.923,1.6,7.9,0.9,1.3,4.2,0.9,7.8,NA,NA,NA,NA
"8","Alex Caruso",24,8.2536,0.489662983425414,0.6992,0.415,14.2272,0.0433333333333333,0.968,0.273,4.4,0.48,0.667,0.37,0.797,6.7,17.3,1.4,2.1,4.7,4,9,NA,NA,NA,NA
"9","Alex Len",25,12.125,0.5802208,4.171,0.72,21.8832,0.0149574468085106,2.928,0.378,6.1,0.363,0.986,0.333,0.648,2.6,11.5,3.9,0.8,6,10.5,18.5,NA,NA,NA,NA
"10","Alex Poythress",25,8.4993,0.553629522431259,2.2755,0.71,16.0884,0,2.436,0.438,3.5,0.391,1,0.358,0.621,2.6,12.2,2.8,0.6,7.1,9.8,16.6,NA,NA,NA,NA
"11","Alfonzo McKinnie",26,6.435,0.61789898989899,1.794,0.717,11.687,0.0322313681868743,2.8448,0.333,5.6,0.356,1,0.175,0.563,1.5,9.2,1.3,0.9,6.4,9,16.9,NA,NA,NA,NA
"12","Alize Johnson",22,8.3936,0.272723837209302,0,0,11.4436,0,0.75,1,1.5,0.5,1,0.5,0.5,0.8,0,4.2,0.8,5.4,7.1,25.5,NA,NA,NA,NA
"13","Allen Crabbe",26,2.1823,0.422043165467626,0,0.872,3.4383,0.207990867579909,2.1909,0.519,10.9,0.378,0.99,0.15,0.732,1.9,10.4,0.9,1,4.3,1.5,12.2,NA,NA,NA,NA
"14","Allonzo Trier",23,7.7121,0.530310421286031,0.2907,0.267,14.2443,0.130158463385354,0.6996,0.333,4.4,0.394,0.635,0.431,0.803,3.9,15.8,0.8,0.9,3.9,2.2,12.2,NA,NA,NA,NA
"15","Amile Jefferson",25,11.5,0.625,0,0.7,20.125,0,0,NA,0,NA,NA,0.5,0.875,2.2,4.9,3.7,2.2,5.8,9.3,24,NA,NA,NA,NA
"16","Amir Johnson",31,9.898,0.57690099009901,1.246,0.687,15.876,0.0167548500881834,0.63,0.143,3.6,0.3,1,0.261,0.756,5.4,20.5,1.9,1.4,8.8,9.7,19.5,NA,NA,NA,NA
"17","Andre Drummond",25,18.0908,0.56112676056338,3.6064,0.57,30.3212,0.00672527472527473,0.0924,0,0.7,0.132,0.8,0.392,0.59,2.1,12.4,4.4,2.5,5.1,16.8,34.7,NA,NA,NA,NA
"18","Andre Iguodala",35,3.5854,0.772751269035533,2.0748,0.757,6.7158,0.0493130081300813,1.763,0.407,4.3,0.333,0.958,0.222,0.582,6.5,13.6,2.7,1.8,2.9,3.4,13.2,NA,NA,NA,NA
"19","Andrew Bogut",34,11.0208,0.516087108013937,2.1376,0.611,18.8416,0.0377038043478261,0,NA,0,NA,NA,0.083,1,3.9,17.7,5,1.1,7.8,10,32.8,NA,NA,NA,NA
"20","Andrew Harrison",24,4.7121,0.499926253687316,0.2641,0.182,8.1176,0.0643835616438356,1.04,0.25,6.5,0.2,0.6,0.34,0.944,6.3,16.5,0.9,1.1,8.9,3.4,8.5,NA,NA,NA,NA
"21","Andrew Wiggins",23,9.348,0.521292682926829,0.8436,0.45,15.3672,0.149894658753709,1.0824,0.474,6.6,0.339,0.814,0.245,0.699,3.5,9.3,1.6,1.3,2.9,3.5,11.4,NA,NA,NA,NA
"22","Anfernee Simons",19,7.1928,0.571333333333333,0,0.222,9.5904,0.214,1.72,0.4,10,0.345,0.6,0.254,0.563,4.5,13.6,0,0.3,3.1,2.3,7.4,NA,NA,NA,NA
"23","Ante Žižic",22,12.996,0.575830409356725,1.2464,0.683,21.584,0.0426232394366197,0,NA,0,NA,NA,0.399,0.705,2.4,13.6,1.8,0.6,5.2,10.6,22.8,NA,NA,NA,NA
"24","Anthony Davis",25,15.093,0.625671794871795,4.128,0.618,24.5874,0.108440713536201,0.2232,0.556,3.6,0.331,1,0.422,0.794,5.5,8.4,6,2.2,3.3,9.9,27.5,NA,NA,NA,NA
"25","Anthony Tolliver",33,1.518,0.411363636363636,0.2185,0.611,2.5875,0.06852,2.5175,0.351,9.5,0.377,1,0.232,0.783,2,11.2,1.7,0.8,4,1.5,16.2,NA,NA,NA,NA
"26","Antonio Blakeney",22,7.5168,0.53108950617284,0.5336,0.385,11.1592,0.32564656964657,2.2154,0.5,5.3,0.396,0.833,0.192,0.658,2.5,7.5,0.9,0.7,2.4,0.9,13.1,NA,NA,NA,NA
"27","Aron Baynes",32,8.1089,0.536476575121163,1.5851,0.667,14.1611,0.0416281221091582,0.648,0.364,3.6,0.344,1,0.278,0.855,3.3,13.8,3.7,0.7,7.3,11.4,19.8,NA,NA,NA,NA
"28","Austin Rivers",26,5.3978,0.537631979695432,0.0411,0.313,8.3707,0.0190147299509002,1.6458,0.333,7.8,0.318,0.683,0.166,0.526,4,10,1,1.1,4.9,1.3,7.5,NA,NA,NA,NA
"29","Avery Bradley",28,3.9672,0.434061302681992,0.0456,0.611,6.4144,0.363184834123223,2.1899,0.386,6.1,0.351,0.86,0.082,0.86,3.8,12.4,0.7,1,4.2,2.5,7.3,NA,NA,NA,NA
"30","B.J. Johnson",23,5.661,0.5,0.952,0.5,9.435,0.300700900900901,2.8314,0.667,6.6,0.429,1,0.111,1,0,9.6,0,1.9,3.8,4.2,13.2,NA,NA,NA,NA
"31","Bam Adebayo",21,10.106,0.626253987730061,3.1868,0.7,17.1988,0.0429610670511896,0.1068,0,0.4,0.2,0.667,0.465,0.735,4.7,17.1,3,1.8,5.2,9.2,24,NA,NA,NA,NA
"32","Ben McLemore",25,3.5532,0.332446808510638,0.5859,0.875,5.9157,0.200012779552716,3.8357,0.308,12.1,0.415,0.941,0.188,0.667,1.2,6.7,1.6,1.8,6.5,1.9,9.4,NA,NA,NA,NA
"33","Ben Simmons",22,15.0696,0.602784838350056,2.604,0.435,24.6624,0.0149107629427793,0,NA,0.1,0,NA,0.446,0.6,10.7,19.3,1.8,2,3.7,6.9,20,NA,NA,NA,NA
"34","Billy Garrett",24,4.5954,0.833,0,0.455,9.1908,0.500333333333333,0,NA,6.1,0,NA,0.148,1,5.4,6.5,1.3,0.8,2.3,0,5.1,NA,NA,NA,NA
"35","Bismack Biyombo",26,8.4487,0.602791044776119,2.2407,0.764,14.7246,0.0295289855072464,0,NA,0,NA,NA,0.583,0.637,2,14.8,4.6,0.7,6.4,11,23.3,NA,NA,NA,NA
"36","Blake Griffin",29,13.2048,0.569639312977099,0.7812,0.34,20.3364,0.0279479553903346,1.7444,0.398,9.8,0.362,0.561,0.41,0.753,7.6,13.8,0.9,1,3.7,4,20.1,NA,NA,NA,NA
"37","Boban Marjanovic",30,14.76,0.647926829268293,2.844,0.66,24.804,0.0501930333817126,0.21,1,0.7,0.4,1,0.504,0.748,3.7,15.7,3.1,1.1,6.2,14,26.9,NA,NA,NA,NA
"38","Bobby Portis",23,11.7348,0.510748031496063,1.0626,0.534,18.018,0.0836717948717949,0.735,0.35,7,0.393,1,0.154,0.794,2.7,9.9,1.3,1.3,5.3,9,24.9,NA,NA,NA,NA
"39","Bogdan Bogdanovic",26,7.1688,0.489758620689655,0.103,0.383,10.6296,0.18,0.9345,0.359,8.9,0.36,0.791,0.188,0.827,6.4,11.1,0.7,1.7,3.4,2.1,11,NA,NA,NA,NA
"40","Bojan Bogdanovic",29,8.94,0.579677852348993,0.58,0.642,15,0.109434666666667,2.1024,0.495,7.3,0.425,0.921,0.29,0.807,3.1,10.2,0,1.3,2.6,1.5,12.7,NA,NA,NA,NA
"41","Bonzie Colson",23,7.104,0.467046875,1.4245,0.875,13.2645,0.0362622036262204,3.81,0.25,10,0.238,1,0.231,0.889,1.4,6.5,0.9,2.4,1.4,8.8,21.5,NA,NA,NA,NA
"42","Brad Wanamaker",29,5.586,0.6,0,0.412,8.379,0.1667,0.143,0,5.5,0.41,0.75,0.267,0.857,7.9,13.9,0.5,1.7,4.8,0.9,11.8,NA,NA,NA,NA
"43","Bradley Beal",25,9.6012,0.624821522309711,1.0584,0.425,16.6824,0.16112084592145,1.3113,0.417,9.3,0.351,0.718,0.278,0.808,7,11,1.6,1.9,3.5,3.1,11.7,NA,NA,NA,NA
"44","Brandon Goodwin",23,9.4644,0.363571129707113,0,0.25,13.761,0,0,NA,5.2,0.333,1,0.478,0.818,12.1,9.7,0,0,6,1.9,3.8,NA,NA,NA,NA
"45","Brandon Ingram",21,10.1325,0.595019047619048,1.2159,0.363,16.6945,0.162974566473988,1.0375,0.359,2.5,0.33,0.903,0.396,0.675,4.1,13.1,1.4,0.7,3.9,2.5,13,NA,NA,NA,NA
"46","Brandon Knight",27,4.4975,0.418054474708171,0,0.207,6.58,0.306851063829787,1.2789,0.211,8.7,0.318,0.585,0.131,0.794,4.8,9.8,0.2,1.4,4.2,1.4,7.7,NA,NA,NA,NA
"47","Brandon Sampson",21,6.5824,0.585993801652893,0.68,0.765,10.2136,0,2.046,0.444,6.6,0.379,0.909,0.1,0.667,2.3,16.1,1.2,1.8,4.3,1.5,6.7,NA,NA,NA,NA
"48","Brook Lopez",30,4.3018,0.651098540145985,0.8949,0.649,7.0179,0.0798322147651007,1.4586,0.397,10.2,0.365,0.952,0.169,0.842,2,8.9,6.5,1,3.8,1.5,15,NA,NA,NA,NA
"49","Bruce Brown",22,7.1155,0.46416992481203,0.7811,0.614,11.4383,0.0118101028999065,1.4464,0.357,3.2,0.258,0.958,0.191,0.75,3.1,11.9,2.1,1.4,6.1,3.5,10.7,NA,NA,NA,NA
"50","Bruno Caboclo",23,5.544,0.505787878787879,0.742,0.667,9.408,0.0193452380952381,3.24,0.327,8.1,0.369,0.979,0.222,0.84,3.1,13.3,3.9,0.9,5,5.8,16.5,NA,NA,NA,NA
"51","Bryn Forbes",25,3.6792,0.514876712328767,0.0672,0.546,5.4264,0.375578947368421,1.0208,0.563,8.8,0.426,0.847,0.099,0.885,3.7,8.8,0.1,1,3.4,0.9,10.4,NA,NA,NA,NA
"52","Buddy Hield",26,6.7518,0.533512544802867,0.6292,0.504,11.3498,0.224669509594883,2.2504,0.516,11.6,0.427,0.842,0.142,0.886,3.6,9.2,1.1,1,3.6,4.1,12.4,NA,NA,NA,NA
"53","C.J. Miles",31,3.6256,0.406597087378641,0.2288,0.667,5.896,0.182925373134328,2.6105,0.391,11.5,0.33,0.97,0.186,0.828,2,8.2,1.5,1.5,4.5,1.7,10.3,NA,NA,NA,NA
"54","C.J. Williams",28,4.8601,0.538390835579515,0.3799,0.5,7.4801,0.251138353765324,1.5,0,6,0.313,0.6,0.029,0,4.5,12.4,0,2.2,6,0.8,5.9,NA,NA,NA,NA
"55","Caleb Swanigan",21,9.438,0.457284848484848,0.8151,0.471,14.5574,0.0185373280943026,1.0849,0.25,1.9,0.143,1,0.17,0.667,3,24,0.5,1.6,7.6,10.2,27.6,NA,NA,NA,NA
"56","Cameron Payne",24,6.4566,0.563661137440758,0,0.296,10.2357,0.120711509715994,1.0382,0.4,5.8,0.298,0.64,0.184,0.805,7.3,15.7,1.1,1.9,4.4,2,9.2,NA,NA,NA,NA
"57","Cameron Reynolds",23,2.7648,0.4,0.7344,0.75,4.608,0.2408125,2.9516,0.375,9.4,0.412,0.952,0.115,0.889,2.4,5.7,0.7,1.1,4.8,1.6,11.3,NA,NA,NA,NA
"58","Caris LeVert",24,12.1608,0.507497335701598,0.756,0.314,19.0944,0.0491504524886878,0.6279,0.357,6.9,0.312,0.458,0.255,0.691,7,11.4,1,1.9,3.4,3.5,11.4,NA,NA,NA,NA
"59","Carmelo Anthony",34,4.343,0.576925581395349,0.3434,0.429,7.3528,0.295076923076923,0.5029,0.333,10.7,0.328,0.905,0.182,0.682,0.8,5.8,2,0.7,5.3,3.3,17.3,NA,NA,NA,NA
"60","Cedi Osman",23,6.966,0.523459259259259,0.2064,0.5,11.9024,0.0875361271676301,1.786,0.318,7.6,0.348,0.838,0.214,0.779,4,11,0.4,1.2,4,2,14.8,NA,NA,NA,NA
"61","Chandler Hutchison",22,7.8309,0.537528138528139,1.0283,0.622,12.7464,0.0168882978723404,1.188,0.273,2.7,0.28,1,0.182,0.605,1.8,10,0.6,1.2,3.2,3.7,18.9,NA,NA,NA,NA
"62","Chandler Parsons",30,5.4054,0.500037037037037,0.091,0.667,8.6086,0.139674418604651,2.0962,0.238,9.4,0.309,0.828,0.137,0.88,4.3,14.2,1,1.9,4.5,0.9,15.2,NA,NA,NA,NA
"63","Channing Frye",35,2.04,0.429116666666667,0.289,0.727,2.771,0.262699386503068,0.874,0.5,11.5,0.405,0.969,0.12,0.786,2.9,9.5,1.3,0.9,6.4,1.2,16.4,NA,NA,NA,NA
"64","Chasson Randle",25,5.3406,0.5,0.069,0.533,8.901,0.0214852713178295,1.5257,0.333,7.3,0.4,0.696,0.286,0.694,6.2,15,0.3,1.6,5.8,1.4,6.8,NA,NA,NA,NA
"65","Cheick Diallo",22,10.8852,0.665056994818653,1.3536,0.826,17.6532,0.0825111821086262,0.1,0,0.2,0.25,1,0.247,0.746,1.7,14,3,1.5,5.9,8.8,29.3,NA,NA,NA,NA
"66","Chimezie Metu",21,11.778,0.485367549668874,2.3595,0.632,15.483,0.0433249370277078,0,NA,0.7,0,NA,0.293,0.765,4.4,18.6,1.2,2,4.7,6.8,20.1,NA,NA,NA,NA
"67","Chris Boucher",26,11.15,0.5784,3.2335,0.636,19.3564,0,2.0601,0.429,10.9,0.324,1,0.197,0.867,0.6,7.8,12.2,1.8,9.1,10.9,25.8,NA,NA,NA,NA
"68","Chris Chiozza",23,2.975,0,0,NA,2.975,0,2.96,0.5,7.4,0.4,1,0,NA,5.9,11.1,2.6,1.5,3,3.3,10.3,NA,NA,NA,NA
"69","Chris Paul",33,4.066,0.467915887850467,0,0.057,5.605,0.484722033898305,1.5322,0.345,9.4,0.358,0.252,0.282,0.862,12.5,15.8,0.8,3,3.9,2.1,13.9,NA,NA,NA,NA
"70","Christian Wood",23,14.6475,0.594874074074074,4.4485,0.673,23.9134,0.0385508166969147,0.9216,0.2,4.8,0.346,1,0.479,0.732,1.5,10.7,3.2,1.3,3.1,7.2,26.5,NA,NA,NA,NA
"71","CJ McCollum",27,8.4249,0.506945945945946,0.2783,0.356,13.0548,0.30256976744186,0.819,0.5,9.1,0.375,0.731,0.154,0.828,4.2,7.4,0.9,1.1,3.5,2.9,9.7,NA,NA,NA,NA
"72","Clint Capela",24,15.84,0.654151515151515,5.616,0.812,27.84,0,0,NA,0,NA,NA,0.357,0.636,2.1,10,3.9,1,3.7,14.4,27.6,NA,NA,NA,NA
"73","Cody Zeller",26,11.7855,0.594441008018328,1.8765,0.745,19.143,0.0102976022566996,0,NA,0.9,0.273,1,0.409,0.787,4,13.2,2.9,1.5,6.4,9.4,19.7,NA,NA,NA,NA
"74","Collin Sexton",20,9.246,0.482378109452736,0.161,0.318,15.364,0.205904191616766,0.644,0.324,5.6,0.402,0.639,0.211,0.839,4.6,12.3,0.2,0.8,3.5,2.3,8,NA,NA,NA,NA
"75","Corey Brewer",32,6.5637,0.536475935828877,0.6669,0.718,11.5128,0.0166666666666667,1.6212,0.294,4.2,0.318,1,0.35,0.721,3.7,11.8,1.2,3,6,5.4,10.7,NA,NA,NA,NA
"76","Cory Joseph",27,4.004,0.509318181818182,0,0.269,5.902,0.342246696035242,0.8856,0.351,4.1,0.322,0.927,0.078,0.698,7.6,12.4,0.9,2.2,3.1,2.1,12.6,NA,NA,NA,NA
"77","Courtney Lee",33,3.5186,0.548597510373444,0.2336,0.649,5.8984,0.384720297029703,2.0274,0.5,6.2,0.291,0.813,0.163,0.667,4.2,9.2,0.6,2.4,3.6,2.2,11.2,NA,NA,NA,NA
"78","Cristiano Felício",26,10.3124,0.559456692913386,1.682,0.695,18.3512,0.0213337547408344,0,NA,0.3,0,NA,0.408,0.685,2.4,13.5,0.8,0.7,4.5,11.4,20.5,NA,NA,NA,NA
"79","D'Angelo Russell",22,8.673,0.495520408163265,0.0885,0.155,12.7145,0.311837587006961,0.9102,0.468,12.3,0.369,0.53,0.135,0.78,10.9,13.6,0.6,1.9,2.7,2.3,11.2,NA,NA,NA,NA
"80","D.J. Augustin",31,5.8984,0.539858910891089,0.0146,0.182,9.7966,0.0860014903129657,1.1658,0.519,6.7,0.421,0.641,0.309,0.866,9.2,14.3,0.1,1.1,2.5,1.9,7.8,NA,NA,NA,NA
"81","D.J. Wilson",22,4.7916,0.505512396694215,1.2672,0.776,7.9464,0.0797674418604651,2.6398,0.38,6.7,0.362,0.957,0.187,0.553,2.7,10.5,1.9,0.9,4.5,5.5,19.2,NA,NA,NA,NA
"82","Dairis Bertans",29,0.2751,0,0,0.5,0.2751,2.02785714285714,1.957,0.286,9.5,0.294,1,0,NA,2.8,4.1,0,0.3,1.9,1.3,4.3,NA,NA,NA,NA
"83","Damian Jones",23,8.0238,0.739021436227224,4.3,0.887,14.7662,0.0157251019219569,0,NA,0,NA,NA,0.5,0.649,3.2,15.1,5.1,1.4,7.3,8.4,11,NA,NA,NA,NA
"84","Damian Lillard",28,9.694,0.523159459459459,0.6026,0.194,17.4754,0.143775112443778,0.55,0.313,11,0.369,0.46,0.335,0.912,9.4,10.8,1,1.5,2.5,2.6,11.1,NA,NA,NA,NA
"85","Damion Lee",26,3.6708,0.517175438596491,0,0.793,5.8282,0.304414364640884,3.1648,0.52,8.6,0.397,0.889,0.173,0.864,1.6,7.4,0,1.6,3.6,2.4,15.3,NA,NA,NA,NA
"86","Damyean Dotson",24,3.8136,0.486665198237885,0.168,0.567,6.5856,0.317382653061225,1.2464,0.5,8.2,0.368,0.881,0.14,0.745,3.2,8.7,0.4,1.4,3.2,1.7,12.2,NA,NA,NA,NA
"87","Daniel Hamilton",23,6.8,0.4332,0,0.267,10.88,0.041375,2.4856,0.364,5.2,0.348,1,0.1,0.5,5,20.3,0.4,1.4,4.3,5,19.5,NA,NA,NA,NA
"88","Daniel Theis",26,8.4318,0.672882943143813,3.0174,0.792,15.0588,0.0456395131086142,0.216,0,3.6,0.388,0.962,0.286,0.737,3.6,9.9,4.1,1.1,8.5,10.2,16.2,NA,NA,NA,NA
"89","Danilo Gallinari",30,6.7599,0.550747747747748,1.0556,0.464,11.4695,0.172288495575221,0.4335,0.421,8.5,0.433,0.845,0.459,0.904,4.1,8.5,0.9,1.1,3,2.9,18.1,NA,NA,NA,NA
"90","Danny Green",31,2.72,0.50742,0.0408,0.621,4.2704,0.157509554140127,3.8916,0.5,9.4,0.455,0.914,0.07,0.841,2.7,10.4,2,1.6,3.7,3,12.2,NA,NA,NA,NA
"91","Dante Cunningham",31,3.6769,0.542505643340858,0.5229,0.578,6.0922,0.0601008174386921,2.1454,0.415,3.4,0.462,0.967,0.114,0.778,2.6,11.7,1.2,1.4,3.7,5.7,16.3,NA,NA,NA,NA
"92","Dante Exum",23,12.354,0.455839436619718,1.1484,0.337,20.0796,0.0179159445407279,2.322,0.313,4.5,0.29,0.944,0.357,0.791,7.9,15.7,0.6,1,5,2.7,8.3,NA,NA,NA,NA
"93","Danuel House",25,3.5028,0.614079136690648,0.7938,0.773,6.2496,0.00806451612903226,3.8003,0.395,8.9,0.416,0.919,0.282,0.789,2,11,1,1.1,4,2.8,13.3,NA,NA,NA,NA
"94","Dario Šaric",24,6.6256,0.565856435643564,0.2296,0.742,11.5784,0.0552889518413598,1.2464,0.321,7.6,0.365,0.966,0.216,0.88,3,11.3,0.4,1.1,4.3,6.6,17.5,NA,NA,NA,NA
"95","Darius Miller",28,0.896,0.559471428571429,0.0256,0.625,1.2928,0.75870297029703,1.6128,0.361,9.6,0.365,0.932,0.147,0.789,3.9,10.3,1.1,1.1,4.4,0.8,6.6,NA,NA,NA,NA
"96","Darren Collison",31,4.71,0.521554140127389,0.03,0.319,8.46,0.325744680851064,1.43,0.54,4.4,0.407,0.734,0.288,0.832,10.5,14.4,0.4,2.5,3.1,1.9,9.9,NA,NA,NA,NA
"97","Daryl Macon",23,2.701,0.4002,0,0.2,4.3216,0.37525,0.5369,0,5.9,0.455,0.6,0.259,0.571,3.8,16.6,0,0.5,4.3,2.4,11.8,NA,NA,NA,NA
"98","David Nwaba",26,8.5536,0.547481481481481,0.8052,0.49,13.9392,0.0325217803030303,1.824,0.361,3.8,0.32,1,0.324,0.682,2.7,8.8,1.5,1.8,5.4,4.4,14.4,NA,NA,NA,NA
"99","Davis Bertans",26,1.9584,0.553875,0.272,0.831,2.9512,0.233184331797235,1.4039,0.596,10.1,0.429,0.986,0.132,0.883,3,8.2,1.7,1,4,1.6,16,NA,NA,NA,NA
